index,Country,2010,2011,2012,2013,2014,2015,2016,2017,Country_Code
11,Azerbaijan,4.4,4.5,4.5,4.5,8.9,8.9,8.9,8.9,AZE
12,Azerbaijan,4.4,4.5,4.5,4.5,8.9,8.9,8.9,8.9,AZE
13,Azerbaijan,4.4,4.5,4.5,4.5,8.9,8.9,8.9,8.9,AZE
14,Azerbaijan,4.4,4.5,4.5,4.5,8.9,8.9,8.9,8.9,AZE
15,Bahamas,24.5,24.5,0.0,24.5,0.0,0.0,0.0,0.0,BHS
16,Bangladesh,14.8,17.7,17.7,28.3,28.3,28.3,28.3,15.7,BGD
17,Barbados,16.1,0.0,0.0,0.0,0.0,0.0,0.0,33.6,BRB
18,Belarus,11.1,12.1,12.1,11.1,10.8,9.7,10.8,10.8,BLR
19,Belgium,15.1,11.7,11.9,12.3,11.6,12.7,13.6,13.7,BEL
20,Belize,48.5,0.0,0.0,37.9,37.9,37.9,37.9,37.9,BLZ
21,Benin,19.2,23.6,23.6,23.6,29.4,29.4,29.4,30.3,BEN
22,Bhutan,0.0,0.0,23.1,25.1,19.6,19.6,19.6,19.6,BTN
23,Bolivia (Plurinational State of),54.2,47.2,47.4,36.1,36.1,36.4,33.5,31.8,BOL
24,Bosnia and Herzegovina,31.1,19.3,19.2,19.2,20.2,20.2,20.2,20.2,BIH
25,Botswana,0.0,0.0,0.0,55.5,55.5,55.5,55.5,0.0,BWA
26,Brazil,37.6,40.7,39.7,39.7,38.7,37.8,38.0,36.7,BRA
27,Bulgaria,16.1,19.9,15.4,18.8,17.8,18.2,21.8,23.6,BGR
28,Burkina Faso,25.3,25.3,23.4,24.2,24.2,24.2,24.2,24.2,BFA
29,Burundi,24.9,0.0,0.0,13.2,14.1,14.1,14.1,20.9,BDI
30,Cabo Verde,0.0,0.0,0.0,28.0,28.0,28.0,28.0,0.0,CPV
31,Cambodia,21.4,21.4,20.3,20.3,20.3,20.3,14.3,14.3,KHM
32,Cameroon,19.9,19.9,19.9,23.1,23.1,23.1,23.1,35.9,CMR
33,Canada,17.1,17.1,17.1,13.9,17.4,17.4,17.4,17.4,CAN
34,Central African Republic,28.1,28.1,28.1,28.1,49.2,49.2,49.2,49.2,CAF
35,Chad,20.8,21.0,21.0,21.0,30.7,30.7,28.4,28.4,TCD
36,Chile,34.1,34.1,34.1,36.0,36.0,35.5,32.6,31.1,CHL
37,China,29.5,29.5,29.5,29.5,29.5,29.5,29.5,23.3,CHN
38,Colombia,43.6,53.9,44.5,41.5,37.4,39.4,37.5,36.2,COL
39,Comoros,54.0,0.0,0.0,0.0,56.0,56.0,56.0,56.0,COM
40,Congo,22.0,30.3,30.3,30.3,21.2,21.2,21.2,21.2,COG
41,Congo,22.0,30.3,30.3,30.3,21.2,21.2,21.2,21.2,COD
42,Congo,22.0,30.3,30.3,30.3,21.2,21.2,21.2,21.2,COD
43,Congo (Democratic Republic of the),22.1,36.8,36.8,31.2,28.2,28.2,28.2,28.2,COD
44,Congo (Democratic Republic of the),22.1,36.8,36.8,31.2,28.2,28.2,28.2,28.2,COD
45,Costa Rica,33.7,33.7,37.9,34.3,34.3,34.1,33.7,32.4,CRI
46,Croatia,27.8,27.8,27.8,17.6,17.2,17.7,17.7,17.3,HRV
47,Cyprus,13.8,10.9,13.6,14.9,15.0,15.9,22.9,18.7,CYP
48,Cyprus,13.8,10.9,13.6,14.9,15.0,15.9,22.9,18.7,CYP
49,Cyprus,13.8,10.9,13.6,14.9,15.0,15.9,22.9,18.7,CYP
50,Cyprus,13.8,10.9,13.6,14.9,15.0,15.9,22.9,18.7,CYP
51,Czechia,12.2,9.6,10.7,11.3,11.0,11.1,11.3,10.8,CZE
52,Côte d'Ivoire,20.5,34.4,34.4,28.1,27.4,27.4,27.4,27.4,CIV
53,Denmark,11.3,10.2,11.0,13.3,14.4,14.3,15.3,14.4,DNK
54,Djibouti,21.3,21.3,21.7,21.7,21.7,21.7,21.7,27.7,DJI
55,Dominican Republic,32.6,33.8,37.6,29.3,30.3,28.1,29.4,28.1,DOM
56,Dominican Republic,32.6,33.8,37.6,29.3,30.3,28.1,29.4,28.1,DOM
57,Dominican Republic,32.6,33.8,37.6,29.3,30.3,28.1,29.4,28.1,DOM
58,Ecuador,23.4,38.8,38.8,32.1,30.9,30.1,31.9,30.5,ECU
59,Egypt,15.9,14.2,14.2,14.2,14.2,36.3,36.3,36.3,EGY
60,El Salvador,32.7,31.1,31.1,34.0,34.0,25.7,24.5,23.2,SLV
61,Estonia,17.7,14.5,17.7,17.4,18.6,18.7,21.4,18.9,EST
62,Eswatini (Kingdom of),32.3,40.9,40.9,37.6,37.6,37.6,37.9,37.9,SWZ
63,Ethiopia,20.8,20.8,20.8,9.5,9.5,9.5,9.5,13.4,GNB
64,Ethiopia,20.8,20.8,20.8,9.5,9.5,9.5,9.5,13.4,GNB
65,Ethiopia,20.8,20.8,20.8,9.5,9.5,9.5,9.5,13.4,GNB
66,Fiji,0.0,0.0,0.0,22.6,22.6,22.6,22.6,0.0,HKG
67,Fiji,0.0,0.0,0.0,22.6,22.6,22.6,22.6,0.0,HKG
68,Finland,13.4,10.6,11.3,10.8,10.8,11.6,20.4,11.7,IRN
69,Finland,13.4,10.6,11.3,10.8,10.8,11.6,20.4,11.7,IRN
70,France,13.9,13.9,13.3,14.2,13.9,16.3,24.1,18.1,IRQ
71,France,13.9,13.9,13.3,14.2,13.9,16.3,24.1,18.1,IRQ
72,France,13.9,13.9,13.3,14.2,13.9,16.3,24.1,18.1,IRQ
73,Gabon,22.1,22.1,22.1,20.4,20.4,20.4,20.4,20.4,GAB
