Sweden,SWE,68.4,68.5,68.6,68.8,68.4,68.4,68.9,68.9,68.9,68.9
Switzerland,CHE,29.1,29.7,30.2,30.8,31.3,31.3,31.4,31.5,31.6,31.7
Syrian Arab Republic,SYR,2,2.2,2.4,2.5,2.7,2.7,2.7,2.7,2.7,2.7
Tajikistan,TJK,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,3
Tanzania (United Republic of),TZA,63.1,60.9,58.6,56.4,54.1,53.7,53.3,52.8,52.4,52
Thailand,THA,27.4,30.4,33.3,31.5,31.8,31.9,31.9,32,32,32.1
The former Yugoslav Republic of Macedonia,,35.9,36.8,37.7,38.3,39.6,39.6,39.6,39.6,39.6,39.6
Timor-Leste,TLS,65,61.2,57.4,53.7,49.9,49.1,48.4,47.6,46.9,46.1
Togo,TGO,12.6,10.8,8.9,7.1,5.3,4.9,4.5,4.2,3.8,3.5
Tonga,TON,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Trinidad and Tobago,TTO,46.9,46.2,45.5,44.8,44.1,44.4,44.8,45.1,45.4,45.7
Tunisia,TUN,4.1,4.8,5.4,5.9,6.4,6.4,6.5,6.6,6.6,6.7
Turkey,TUR,12.5,12.9,13.2,13.9,14.6,14.7,14.8,15,15.1,15.2
Turkey,TUR,12.5,12.9,13.2,13.9,14.6,14.7,14.8,15,15.1,15.2
Turkey,TUR,12.5,12.9,13.2,13.9,14.6,14.7,14.8,15,15.1,15.2
Turkey,TUR,12.5,12.9,13.2,13.9,14.6,14.7,14.8,15,15.1,15.2
Turkmenistan,TKM,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
Tuvalu,TUV,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
Uganda,UGA,23.8,21.6,19.4,17.2,13.7,13.1,12.4,11.7,11,10.4
Ukraine,UKR,16,16.2,16.4,16.5,16.5,16.5,16.6,16.6,16.6,16.7
United Arab Emirates,ARE,2.9,3.3,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.9
United Kingdom,GBR,11.5,11.8,12.2,12.5,12.6,12.7,12.8,12.9,12.9,13
United States,USA,33,33.1,33.1,33.3,33.7,33.8,33.8,33.8,33.9,33.9
Uruguay,URY,4.6,6.2,7.8,8.7,9.9,10,10.2,10.3,10.4,10.5
Uzbekistan,UZB,7.2,7.4,7.6,7.7,7.7,7.7,7.6,7.6,7.6,7.6
Vanuatu,VUT,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
Venezuela (Bolivarian Republic of),VEN,59,57.4,55.7,54.1,53.9,53.7,53.5,53.3,53.1,52.9
Viet Nam,VNM,28.8,32.4,37.7,42.2,45.6,46,46.4,46.8,47.2,47.6
Yemen,YEM,1,1,1,1,1,1,1,1,1,1
Zambia,ZMB,71,69.9,68.8,67.7,66.5,66.3,66.1,65.9,65.6,65.4
Zimbabwe,ZWE,57.3,53.1,48.8,44.6,40.4,39.6,38.8,38,37.2,36.4
"Hong Kong, China (SAR)",,0,0,0,0,0,0,0,0,0,0
Monaco,MCO,0,0,0,0,0,0,0,0,0,0
South Sudan,SSD,0,0,0,0,0,0,0,0,0,0
